Number,Site,Assigned,Priority,Description,Pictures,Date Posted,Updates,Completed,Updated Date,Updated Pics,Category
31,650,,,Debris including used car batteries strewn outside of side door of Next Cleaners,"<a href=""https://github.com/saferdevelopment/650/blob/main/101922/IMG_4246.JPG?raw=true"" target=""_blank"">Image1</a>",10/19/2022,,,,,Maintenance
49,969,,,Top coffin block in back of parking near shed was hit by a truck. It's currently resting on top of bollard posts. Broken concrete is all over the ground. ,"<a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4238.JPG?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4239.JPG?raw=true"" target=""_blank"">Image2</a>",10/19/2022,,,,,Repairs
50,969,,,"ASCO inspector pointing out fire safety issues with racking at Family Foods. Many pallets less than 18"" of clearance between the rack and sprinkler. ","<a href=""https://github.com/saferdevelopment/969/blob/main/101922/IMG_4242.JPG?raw=true"" target=""_blank"">Image1</a>",10/19/2022,,,,,Administrative
14,450,,,ASCO fire protection testing,"<a href=""https://github.com/saferdevelopment/450/blob/main/101822/IMG_4230.JPG?raw=true"" target=""_blank"">Image1</a>",10/18/2022,Testing conducted at each riser and outdoor hydrants. May need to replace top hydrant cap in North Lot. Bolt has been stripped and hydrant was partially opened when tested. ,X,,,Compliance
13,450,Tim,,Derelict trailers parked outside Unit E,"<a href=""https://github.com/saferdevelopment/450/blob/main/090722/IMG_3838.JPG?raw=true"" target=""_blank"">Image1</a>",9/7/2022,Met with East Rutherford police to take report. Derelict trailer on Madison Circle Drive was towed. Two trailers outside unit E must be handled by us on private property. Nicks towing notified. Will require payment to tow since material can't be salvaged. Gerry discussing directly with Nicks and Workplace (owners of derelict trailers),,,,Maintenance
19,525,,,Dead trees on north of property,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3762.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,Dead trees removed and cut back,X,10/21/2022,"<a href=""https://github.com/saferdevelopment/525/blob/main/102122/IMG_4255.JPG?raw=true"" target=""_blank"">Image1</a>",Maintenance
22,525,,,Spray for weeds in the lot,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3766.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,Weeds removed prior to seal coat,X,10/21/2022,,Maintenance
21,525,,,Seal coat and restripe north lot outside Unit 1 and Unit 2,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3765.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,Striping not completed yet,X,10/16/2022,"<a href=""https://github.com/saferdevelopment/525/blob/main/102022/Sasha/20221015_101625_HDR_resized%20(002).jpg?raw=true"" target=""_blank"">Image1</a>",Budgetary
23,525,,,Crack fill entire post office lot,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3768.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,X,10/16/2022,"<a href=""https://github.com/saferdevelopment/525/blob/main/102022/Sasha/20221011_073506_resized.jpg?raw=true"" target=""_blank"">Image1</a>",Budgetary
40,969,,,Seal coat and restripe south lot. Spot pavement repairs. ,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3752.JPG?raw=true"" target=""_blank"">Image1</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3753.JPG?raw=true"" target=""_blank"">Image2</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3754.JPG?raw=true"" target=""_blank"">Image3</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3756.JPG?raw=true"" target=""_blank"">Image4</a>  <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3741.JPG?raw=true"" target=""_blank"">Image5</a>  ",9/2/2022,Restriping not completed yet.,X,10/15/2022,"<a href=""https://github.com/saferdevelopment/969/blob/main/101922/Sasha/20221015_130217_resized.jpg?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/969/blob/main/101922/Sasha/20221015_132444_resized.jpg?raw=true"" target=""_blank"">Image2</a>",Budgetary
36,969,,,Need to provide some roof maintenance - minor spot repairs and clean drains,,9/2/2022,,X,10/6/2022,"<a href=""https://github.com/saferdevelopment/969/blob/main/101922/Sasha/20221003_132940_resized%20(002).jpg?raw=true"" target=""_blank"">Image1</a>",Maintenance
24,525,,,Notify 4A tenants to remove debris in front of loading docks,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3769.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,X,9/8/2022,,Maintenance
15,525,,,Unit 1 drain in interior loading dock is clogged. Need to snake drain,,9/2/2022,,,,,Maintenance
16,525,,,Stripe lines leading up to Unit 1 loading dock,,9/2/2022,,,,,Budgetary
17,525,,,Leak outside drip system at Unit 2,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3760.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,X,,,Repairs
18,525,,,Need to check all drip irrigation hoses for leaks (Carlos). Remove all weed cloth/fabric,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3759.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,X,,,Repairs
20,525,,,Straighten parking signs - pour concrete if needed,"<a href=""https://github.com/saferdevelopment/525/blob/main/090222/IMG_3763.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
25,650,,,"Unit 1 tenant required to vacate unit in 6 months. Still significant work required to remove equipment, pipes, compressor, decommission boiler, etc ",,9/2/2022,,,,,Administrative
26,650,,,Photocell issue with light at Unit 6 needs to be addressed,"<a href=""https://github.com/saferdevelopment/650/blob/main/090722/IMG_3833.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
27,650,,,Baystate - Damaged bumper blocks on middle loading dock,"<a href=""https://github.com/saferdevelopment/650/blob/main/090722/IMG_3823.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,Spoke with tenant about issue. They told us that the elevations are different at the three doors and they are only able to use the middle door which is causing more damage to the bumpers,,,,Repairs
28,650,,5,Some minor water damage on the north side wall of the building. May also need power washing.,,9/2/2022,,,,,Repairs
29,650,,,Some wall cracking and minor EIFS facade damage on south facing wall outside Unit 6 ,"<a href=""https://github.com/saferdevelopment/650/blob/main/090722/IMG_3827.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
30,650,,,Tenant in Unit 6 (Don) notified us there is a minor leak coming from the unit heater hanging over the interior loading lock ,"<a href=""https://github.com/saferdevelopment/650/blob/main/090722/IMG_3829.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
32,969,,,Need Jeff Boyer to straighten pole with mounted camera. Possibly cover exposed wires with conduit and metal box. ,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3728.JPG?raw=true"" target=""_blank"">Image1</a> <a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3729.JPG?raw=true"" target=""_blank"">Image2</a>",9/2/2022,,,,,Repairs
33,969,Tim,,Remove all trees at entrance of property. Trees currently obstructing view of security camera. Remove dead tree in front of property. ,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3730.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,"Quotes provided from Greenwood ($4531) <a href=""https://github.com/saferdevelopment/969/raw/main/092122/Greenwood%20Tree%20Experts_quote_092222.pdf"" target=""_blank"">Doc1</a> and Atlas ($1800) <a href=""https://github.com/saferdevelopment/969/raw/main/092122/ATLAS%20TREE%20SERVICE_quote_092222.pdf"" target=""_blank"">Doc2</a>. Contacted Al D Landscaping for additional quote.",,,,Maintenance
34,969,Tim,,Update directory. Contact Signs by Lynn,,9/2/2022,Will contact Signs by Lynn once new tenant is confirmed (replacing Cooper Electric),,,,Maintenance
37,969,,,Add flag to post,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3737.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Repairs
38,969,,,Restripe for additional parking outside Cooper Electric,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3739.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Budgetary
39,969,,,Create road through corner (remove coffin blocks) for easier vehicle access,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3740.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Budgetary
41,969,,,Plan for additional striping/parking outside Family Foods and Overseas Moving (east side of building),"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3743.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Budgetary
42,969,,,Clean drainage area on east side of property,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3745.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,X,,,Maintenance
43,969,,,Pruning required on east side of property,"<a href=""https://github.com/saferdevelopment/969/blob/main/090222/IMG_3746.JPG?raw=true"" target=""_blank"">Image1</a>",9/2/2022,,,,,Maintenance
